Table,Year,Rcode,Demographic,Description,Est1,Est2,Est3,Est4,Est5,Est6,Est7,Est8,Est9,Est10,Est11,DQF1,DQF2,DQF3,DQF4,DQF5,DQF6,DQF7,DQF8,DQF9,DQF10,DQF11,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,RSE11,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
T9,2007,HHC10,Household Composition,All other households,,,6.1,15.9,7.1,14.6,13.6,19.8,16.7,24.4,121.1,S,S,**,*,**,**,*,*,*,*,,,,66.3,45.9,71.4,56.1,45.9,40.8,45.9,45.9,20.4,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHS01,Household Size,One person household,107.7,75.5,36,37.4,30.1,18.4,13,6.4,5.9,3.6,334.1,,*,*,*,*,*,*,**,**,**,,15.3,30.6,30.6,25.5,35.7,40.8,40.8,61.2,66.3,91.8,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHS02,Household Size,Two person household,29,56.4,75.8,54.9,52.4,49.9,67.3,46,52.4,44.4,528.5,*,*,,*,*,*,*,*,*,*,,35.7,25.5,20.4,25.5,30.6,20.4,20.4,20.4,25.5,30.6,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHS03,Household Size,Three person household,8.9,11.2,25.2,24.5,26.8,36.3,29.5,36.2,39.8,32,270.3,**,**,*,*,*,*,*,*,*,*,,61.2,56.1,40.8,30.6,40.8,25.5,35.7,30.6,30.6,30.6,10.2,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHS04,Household Size,Four person household,5.2,13,12.2,18.2,27,31.3,28,40.5,35,54.7,265,**,**,*,*,*,*,*,*,*,*,,66.3,66.3,51,45.9,35.7,35.7,30.6,30.6,30.6,25.5,10.2,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHS05,Household Size,Five or more person household,2.7,,6.6,20.9,20.7,19.8,18.5,26.8,23.9,20.5,163,***,S,**,*,*,*,*,*,*,*,,102,,66.3,45.9,45.9,45.9,40.8,35.7,40.8,40.8,10.2,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT01,Tenure,Total for Dwelling owned or partly owned by usual resident(s),79.8,86.2,78.5,88.1,81.2,87.6,103.4,107.1,109.5,79.9,901.3,*,,*,*,,,,,,,,20.4,15.3,20.4,20.4,15.3,15.3,15.3,15.3,20.4,20.4,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT02,Tenure,Owned: Mortgage arrangements not further defined,,,,,,,,,,,,,,,,,S,,,,,S,,,,,,,,,,,,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT03,Tenure,Owned: Who make mortgage payments,16.1,14.5,25.5,49.4,50.4,60.6,69.1,79.9,76.6,58,500.1,*,*,*,*,*,*,*,,*,*,,45.9,40.8,35.7,35.7,20.4,25.5,20.4,20.4,20.4,20.4,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT04,Tenure,Owned: Who do not make mortgage payments,63.7,71.7,53.1,38.7,30.8,26.5,34.4,27.2,32.9,21.8,400.8,*,,*,*,*,*,*,*,*,*,,25.5,20.4,25.5,30.6,30.6,30.6,30.6,35.7,30.6,35.7,10.2,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT05,Tenure,Total for Dwelling not owned by usual resident(s),53,56.5,61.8,56.4,62.3,53.6,38.8,33.6,29,28.3,473.3,*,*,*,*,*,*,*,*,*,*,,25.5,25.5,20.4,20.4,25.5,25.5,25.5,25.5,40.8,35.7,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT06,Tenure,Not owned: Rental arrangements not further defined,,,,,,,,,,,,S,,,,,,,,,,S,,,,,,,,,,,,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT07,Tenure,Not owned: Who make rent payments,50.7,54.6,57.7,54.1,61.9,49.8,37.8,32.2,26,28.3,453.1,*,*,*,*,*,*,*,*,*,*,,25.5,25.5,25.5,20.4,25.5,25.5,25.5,30.6,40.8,35.7,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT08,Tenure,Not owned: Who do not make rent payments,,,4.1,,,,,,,,19.6,S,S,***,S,S,S,S,S,S,,**,,,122.4,,,,,,,,61.2,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT09,Tenure,Total for Dwelling held in a family trust by usual resident(s),20.7,16,15.5,11.4,13.5,14.4,14,15.2,18.6,47,186.3,*,*,**,**,*,*,*,*,*,*,,51,40.8,56.1,51,45.9,51,45.9,45.9,40.8,30.6,15.3,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT10,Tenure,Family trust: Mortgage arrangements not further defined,,,,,,,,,,,,,,,,,,,,S,,S,,,,,,,,,,,,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT11,Tenure,Family trust: Who make mortgage payments,6,2.4,,2.6,3.6,5.7,9.7,7.2,9.4,26.7,74.3,**,***,S,***,**,**,**,**,**,*,*,81.6,107.1,,112.2,91.8,86.7,56.1,61.2,71.4,40.8,20.4,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHT12,Tenure,Family trust: Who do not make mortgage payments,14.6,13.5,14.6,8.8,9.9,8.8,4.3,8.1,8.6,20.3,111.3,*,*,**,**,**,**,**,**,**,**,,45.9,40.8,61.2,56.1,61.2,66.3,71.4,66.3,51,51,15.3,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2008,HH999,Total all households,Total all households,156.3,159.7,158.4,157.8,157.1,159.5,157.4,157.5,157.5,158.8,1580,,,,,,,,,,,,10.2,10.2,10.2,10.2,15.3,10.2,10.2,15.3,10.2,15.3,0,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC01,Household Composition,Couple only,14.2,38.2,56.3,44.4,43.4,47.7,55.1,51.1,37.9,51.4,439.6,*,*,,*,*,*,*,*,*,*,,51,25.5,20.4,25.5,25.5,20.4,20.4,25.5,25.5,20.4,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC02,Household Composition,Couple with one dependent child,4,3.9,8.6,7.8,15.4,10.9,12.3,22,15.1,11.5,111.4,***,**,**,**,*,**,*,*,*,*,,117.3,66.3,71.4,66.3,40.8,51,35.7,35.7,40.8,45.9,20.4,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC03,Household Composition,Couple with two dependent children,3.4,,5.4,12,15.8,15.8,19,18.6,26.4,17.9,136.4,**,S,**,*,*,*,*,*,*,*,,81.6,,71.4,51,40.8,35.7,35.7,35.7,35.7,35.7,15.3,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC04,Household Composition,Couple with three or more dependent children,,4.1,2.9,7.4,7.2,14.6,11.9,11.2,4.8,10,76.4,S,**,***,**,**,*,*,*,**,*,,,86.7,102,56.1,61.2,40.8,45.9,51,71.4,45.9,15.3,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC05,Household Composition,All other 'couples with child(ren) only' households,4.6,,4.4,6.8,15,8.6,18.7,13.7,33.5,32.5,140.2,**,S,***,**,**,**,*,**,*,*,,86.7,,102,76.5,56.1,56.1,40.8,56.1,30.6,40.8,15.3,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC06,Household Composition,One parent with dependent child(ren) only,15,22,21,17.2,5.8,2.3,2.3,1.6,,,87.8,*,*,*,*,**,***,**,***,S,S,,40.8,35.7,40.8,45.9,66.3,102,96.9,102,,,15.3,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC07,Household Composition,All other 'one parent with child(ren) only' households,2.7,2.8,7.6,5.8,6.3,7.8,8.3,2.6,,5.4,50.7,***,**,**,**,**,**,**,***,S,**,*,102,76.5,76.5,61.2,56.1,61.2,81.6,107.1,,76.5,25.5,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC08,Household Composition,Other one-family households,2.3,3.4,5,9.4,11.3,13.3,4.5,14,17.3,9.9,90.4,**,**,**,*,**,*,**,**,*,*,,91.8,86.7,81.6,40.8,61.2,35.7,71.4,56.1,45.9,51,15.3,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC09,Household Composition,One-person household,104.8,77.8,42.4,41.7,23.5,25.4,11.3,9.5,3.4,4.9,344.5,,,*,*,*,*,*,**,**,**,,15.3,15.3,25.5,25.5,35.7,30.6,45.9,61.2,81.6,66.3,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHC10,Household Composition,All other households,3.3,2.9,5,5.3,13.4,13.2,13.5,13.1,17.4,15.1,102.2,***,**,**,**,**,**,*,*,*,*,,112.2,91.8,76.5,76.5,56.1,51,45.9,51,45.9,40.8,20.4,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHS01,Household Size,One person household,104.8,77.8,42.4,41.7,23.5,25.4,11.3,9.5,3.4,4.9,344.5,,,*,*,*,*,*,**,**,**,,15.3,15.3,25.5,25.5,35.7,30.6,45.9,61.2,81.6,66.3,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHS02,Household Size,Two person household,24.4,54.4,74.4,61.3,60,58.2,63.3,57.2,43.9,55.7,552.7,*,*,,,*,,,*,*,*,,35.7,20.4,15.3,20.4,20.4,20.4,20.4,25.5,25.5,20.4,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHS03,Household Size,Three person household,10.7,12.6,22.5,20.6,33.3,27.6,28.9,38.4,37.9,34.3,266.7,**,*,*,*,*,*,*,*,*,*,,56.1,45.9,40.8,35.7,30.6,35.7,35.7,30.6,25.5,30.6,10.2,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHS04,Household Size,Four person household,8.9,8.7,12.2,19.5,25.4,23.5,30,29.9,51,33.5,242.6,**,**,*,*,*,*,*,*,*,*,,51,56.1,51,35.7,40.8,30.6,30.6,35.7,25.5,25.5,10.2,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHS05,Household Size,Five or more person household,7.4,6.2,6.9,14.7,14.9,24.8,23.9,22.5,21.4,30.5,173.4,**,**,**,*,*,*,*,*,*,*,,96.9,66.3,66.3,40.8,45.9,35.7,25.5,30.6,40.8,30.6,10.2,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT01,Tenure,Total for Dwelling owned or partly owned by usual resident(s),75.2,79.7,83.2,75.4,77,86.3,95.7,98.5,94.7,93.3,858.9,*,,,,,,,,,,,25.5,15.3,15.3,15.3,15.3,15.3,15.3,20.4,15.3,15.3,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT02,Tenure,Owned: Mortgage arrangements not further defined,,,,,,,,,,,,,,S,,,,,,S,,S,,,,,,,,,,,,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT03,Tenure,Owned: Who make mortgage payments,18.7,18,23.9,38.9,45.2,55.8,59.3,77,69.6,55.2,461.5,*,*,*,*,*,,*,,,,,45.9,35.7,35.7,25.5,20.4,20.4,20.4,15.3,20.4,20.4,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT04,Tenure,Owned: Who do not make mortgage payments,56.5,61.7,59,36.4,31.8,30.6,36.4,21.5,24.7,38.1,396.6,*,,,*,*,*,*,*,*,*,,25.5,20.4,20.4,25.5,25.5,30.6,40.8,45.9,30.6,30.6,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT05,Tenure,Total for Dwelling not owned by usual resident(s),66.4,63.7,65.2,65.7,61.5,55.1,41.6,39.6,35.8,20.7,515.2,,*,,,*,*,*,*,*,*,,20.4,20.4,20.4,20.4,20.4,20.4,25.5,25.5,25.5,30.6,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT07,Tenure,Not owned: Who make rent payments,61.5,60.9,61.6,63.5,59.3,52.5,39.6,38.6,32.8,18.4,488.7,,*,,,*,*,*,*,*,*,,20.4,20.4,20.4,20.4,20.4,20.4,25.5,25.5,25.5,35.7,5.1,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT08,Tenure,Not owned: Who do not make rent payments,5,2.8,3.6,2.2,,2.6,,,,,26.6,**,***,***,**,S,***,S,S,S,S,*,81.6,112.2,122.4,86.7,,112.2,,,,,40.8,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT09,Tenure,Total for Dwelling held in a family trust by usual resident(s),14.4,16.4,10.1,16.7,18.6,18.1,20.1,19.4,27,44.8,205.5,*,*,*,**,**,*,*,*,*,*,,45.9,40.8,51,56.1,51,35.7,45.9,40.8,35.7,30.6,10.2,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT11,Tenure,Family trust: Who make mortgage payments,5.2,4.3,,4.3,10.5,7.6,8.4,7.9,16.8,22.5,88.2,**,**,S,**,**,**,**,**,*,*,,71.4,81.6,,81.6,76.5,71.4,66.3,61.2,45.9,40.8,15.3,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2008,HHT12,Tenure,Family trust: Who do not make mortgage payments,9.2,12.1,9.5,12.4,8.1,10.5,11.7,11.5,10.2,22.3,117.3,*,*,**,**,**,*,**,**,**,*,,51,40.8,51,66.3,61.2,45.9,56.1,61.2,61.2,40.8,15.3,"Under   $19,200","$19,200 To   $27,799","$27,800 To   $37,799","$37,800 To   $48,299","$48,300 To   $59,199","$59,200 To   $73,499","$73,500 To   $87,999","$88,000 To  $109,999","$110,000 To  $143,099","$143,100 and Over"
T9,2009,HH999,Total all households,Total all households,159.9,159.4,160.2,160,159,159.6,159.4,159.7,159.1,160.4,1596.6,,,,,,,,,,,,10.2,10.2,15.3,10.2,15.3,15.3,15.3,15.3,15.3,15.3,0,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
T9,2009,HHC01,Household Composition,Couple only,14.4,37.1,49.1,42.8,36.2,50.6,48.6,59.2,45.9,45.6,429.6,*,*,*,*,*,*,,*,*,*,,45.9,25.5,25.5,25.5,25.5,25.5,20.4,25.5,25.5,20.4,5.1,"Under   $19,900","$19,900 To   $29,299","$29,300 To   $39,399","$39,400 To   $51,599","$51,600 To   $62,899","$62,900 To   $75,999","$76,000 To   $92,299","$92,300 To  $113,699","$113,700 To  $150,099","$150,100 and Over"
